arm,conc,rounds,agg_tok_s,agg_min,agg_max,per_stream_tok_s,ttft_med_s,ttft_max_s,tpot_ms,accept_rate_pct,accept_len,kv_pool_tokens
"fp8 draft cache + settle gate (production 7)",6,3,143.4,142.8,152.4,30.4,0.808,3.467,32.90,60.8,5.26,4699724
"fp8 draft cache + settle gate (production 7)",8,3,175.1,171.6,175.5,26.9,0.914,4.139,37.21,62.0,5.34,4699724
"full-scope checkpoint (production 9)",1,3,69.9,69.6,70.3,75.9,0.280,0.675,13.17,61.9,5.34,5165289
"full-scope checkpoint (production 9)",2,3,99.2,98.5,100.0,54.0,0.409,0.975,18.51,62.0,5.34,5165289
"full-scope checkpoint (production 9)",4,3,140.7,137.1,144.0,42.6,0.591,1.449,23.47,63.1,5.41,5165289
"full-scope checkpoint (production 9)",6,3,172.4,171.9,173.3,33.0,0.709,1.639,30.27,62.5,5.37,5165289
"full-scope checkpoint (production 9)",8,3,197.2,190.3,198.9,28.6,0.826,2.920,34.92,62.6,5.38,5165289
"0.83 memory rung (production 10)",1,3,70.5,70.2,71.7,76.9,0.282,0.678,13.01,62.5,5.38,5619834
"0.83 memory rung (production 10)",2,3,99.0,98.3,100.8,54.6,0.407,1.008,18.32,61.4,5.30,5619834
"0.83 memory rung (production 10)",4,3,144.6,136.4,144.7,42.8,0.585,1.828,23.34,64.5,5.51,5619834
"0.83 memory rung (production 10)",6,3,175.4,173.1,177.8,34.2,0.711,1.708,29.23,63.0,5.41,5619834
"0.83 memory rung (production 10)",8,3,194.0,189.9,199.4,28.6,0.811,2.001,34.96,61.8,5.33,5619834
"NCCL_ALGO=Ring,Tree on production 10 (rejected)",1,3,70.6,67.7,71.5,76.7,0.282,0.680,13.03,63.2,5.42,5702479
"NCCL_ALGO=Ring,Tree on production 10 (rejected)",2,3,99.9,99.4,101.5,53.9,0.410,0.949,18.55,62.2,5.35,5702479
"NCCL_ALGO=Ring,Tree on production 10 (rejected)",4,3,143.4,133.8,146.9,41.7,0.588,1.467,24.00,64.7,5.53,5702479
"NCCL_ALGO=Ring,Tree on production 10 (rejected)",6,3,175.2,171.9,175.5,32.7,0.705,1.638,30.60,62.6,5.38,5702479
"NCCL_ALGO=Ring,Tree on production 10 (rejected)",8,3,195.6,194.6,195.7,29.7,0.806,2.069,33.65,62.0,5.34,5702479
