arm,op,bytes,us,gbs,rnr_per_op,oob_per_op
link1rnr1,sendrecv,67108864,5795.8,11.79,7.42,6.40
link1rnr1,step90,47185920,9625.5,,,
link2,allreduce,131072,288.1,0.61,1.90,0.20
link2,allreduce,262144,259.4,1.35,1.74,0.00
link2,allreduce,524288,224.5,3.67,0.99,0.00
link2,allreduce,1048576,314.0,4.61,1.86,0.00
link2,allreduce,2097152,806.3,3.48,6.27,0.00
link2,allreduce,4194304,801.2,7.12,6.70,0.00
link2,allreduce,8388608,1096.8,10.30,6.49,0.04
link2,allreduce,16777216,1610.8,13.89,8.70,0.65
link2,allreduce,33554432,3819.9,11.88,18.38,0.58
link2,allreduce,67108864,5448.2,16.66,14.75,0.00
link2,alltoall,147456,177.1,0.56,0.67,0.00
link2,alltoall,270336,115.8,2.35,0.24,0.07
link2,alltoall,540672,228.0,1.58,1.56,0.00
link2,alltoall,1056768,181.1,4.08,0.97,0.00
link2,alltoall,2113536,1033.4,1.39,7.34,0.10
link2,alltoall,4202496,727.9,3.92,5.59,0.43
link2,alltoall,8404992,1018.7,5.52,6.52,0.43
link2,alltoall,16785408,1114.3,10.07,5.62,0.21
link2,alltoall,33570816,2450.0,9.22,14.28,0.15
link2,alltoall,67117056,4064.6,11.01,21.23,0.20
link2,sendrecv,131072,200.0,0.69,0.44,0.00
link2,sendrecv,262144,222.7,1.21,0.58,0.01
link2,sendrecv,524288,163.4,3.21,0.67,0.00
link2,sendrecv,1048576,162.1,6.74,0.67,0.00
link2,sendrecv,2097152,598.0,3.82,5.00,0.00
link2,sendrecv,4194304,478.6,8.96,2.60,0.07
link2,sendrecv,8388608,871.3,9.63,3.72,0.00
link2,sendrecv,16777216,1421.6,11.90,5.78,0.04
link2,sendrecv,33554432,2330.2,14.46,10.72,0.00
link2,sendrecv,67108864,4201.2,16.01,16.25,0.00
link2,step90,47185920,9273.5,,,
link2ch16,allreduce,131072,202.5,1.01,0.57,0.64
link2ch16,allreduce,262144,287.9,1.21,1.41,1.48
link2ch16,allreduce,524288,338.6,2.29,2.56,1.44
link2ch16,allreduce,1048576,479.3,3.03,2.15,1.19
link2ch16,allreduce,2097152,769.7,3.98,4.16,3.19
link2ch16,allreduce,4194304,618.7,10.89,6.02,4.55
link2ch16,allreduce,8388608,894.5,13.09,7.26,0.00
link2ch16,allreduce,16777216,1169.5,19.55,4.00,3.95
link2ch16,allreduce,33554432,2254.0,20.03,4.60,12.30
link2ch16,allreduce,67108864,4351.5,20.56,5.45,6.75
link2ch16,alltoall,147456,53.3,2.03,0.09,0.18
link2ch16,alltoall,270336,70.4,2.79,0.08,0.07
link2ch16,alltoall,540672,146.8,4.06,0.80,0.01
link2ch16,alltoall,1056768,101.9,7.18,0.21,0.14
link2ch16,alltoall,2113536,514.9,2.80,4.53,0.13
link2ch16,alltoall,4202496,561.3,6.85,5.14,0.21
link2ch16,alltoall,8404992,516.0,12.57,2.10,1.22
link2ch16,alltoall,16785408,907.7,13.77,3.54,1.12
link2ch16,alltoall,33570816,1670.2,14.27,5.95,2.33
link2ch16,alltoall,67117056,3379.2,13.75,12.78,0.00
link2ch16,sendrecv,131072,137.0,1.85,0.34,0.06
link2ch16,sendrecv,262144,122.9,2.40,0.46,0.14
link2ch16,sendrecv,524288,171.2,3.12,0.82,0.20
link2ch16,sendrecv,1048576,152.8,7.02,0.23,0.44
link2ch16,sendrecv,2097152,472.1,4.55,2.41,0.20
link2ch16,sendrecv,4194304,692.1,6.42,4.12,0.28
link2ch16,sendrecv,8388608,889.2,9.50,5.06,0.12
link2ch16,sendrecv,16777216,1148.8,14.73,3.82,0.00
link2ch16,sendrecv,33554432,2758.4,12.71,12.65,0.00
link2ch16,sendrecv,67108864,4053.7,16.77,11.15,5.83
link2ch16,step90,47185920,26178.0,,,
link2cuda,allreduce,131072,256.4,0.84,1.41,0.44
link2cuda,allreduce,262144,118.8,3.48,0.67,0.85
link2cuda,allreduce,524288,147.5,4.75,0.70,0.64
link2cuda,allreduce,1048576,265.9,5.73,1.05,0.91
link2cuda,allreduce,2097152,515.5,6.17,2.55,4.17
link2cuda,allreduce,4194304,549.1,12.07,3.46,3.10
link2cuda,allreduce,8388608,632.3,17.81,1.63,1.96
link2cuda,allreduce,16777216,1192.5,19.06,2.20,3.36
link2cuda,allreduce,33554432,2480.3,18.09,7.88,6.58
link2cuda,allreduce,67108864,4311.6,20.84,4.72,13.35
link2cuda,alltoall,147456,34.3,2.87,0.00,0.45
link2cuda,alltoall,270336,54.2,3.33,0.01,0.56
link2cuda,alltoall,540672,52.1,6.92,0.00,0.56
link2cuda,alltoall,1056768,84.2,8.40,0.04,0.97
link2cuda,alltoall,2113536,304.5,5.61,0.19,3.13
link2cuda,alltoall,4202496,263.3,10.72,0.31,6.68
link2cuda,alltoall,8404992,361.8,15.49,0.22,6.25
link2cuda,alltoall,16785408,567.5,19.72,0.04,4.32
link2cuda,alltoall,33570816,1348.9,17.20,2.80,6.02
link2cuda,alltoall,67117056,2174.2,20.68,1.88,8.70
link2cuda,sendrecv,131072,47.8,2.86,0.03,0.23
link2cuda,sendrecv,262144,49.1,5.35,0.00,0.71
link2cuda,sendrecv,524288,134.8,4.34,0.45,0.38
link2cuda,sendrecv,1048576,152.6,6.88,0.53,1.14
link2cuda,sendrecv,2097152,397.2,6.00,2.14,3.32
link2cuda,sendrecv,4194304,434.3,9.88,2.07,3.43
link2cuda,sendrecv,8388608,465.5,18.27,0.58,2.50
link2cuda,sendrecv,16777216,805.0,20.88,0.35,3.15
link2cuda,sendrecv,33554432,1608.5,20.98,1.12,4.92
link2cuda,sendrecv,67108864,3173.8,21.30,3.30,3.67
link2cuda,step90,47185920,9237.5,,,
link2cudanf,allreduce,131072,123.4,1.43,0.07,0.16
link2cudanf,allreduce,262144,110.9,3.37,0.60,0.32
link2cudanf,allreduce,524288,135.8,5.23,0.36,0.00
link2cudanf,allreduce,1048576,231.8,6.34,0.71,0.27
link2cudanf,allreduce,2097152,542.7,5.86,2.52,0.15
link2cudanf,allreduce,4194304,680.7,10.19,3.52,0.02
link2cudanf,allreduce,8388608,566.9,19.73,0.27,0.07
link2cudanf,allreduce,16777216,1345.6,16.63,3.86,0.57
link2cudanf,allreduce,33554432,2823.1,15.86,4.53,0.23
