# device,NVIDIA GB10,cc,12.1,SMs,48,L2_bytes,25165824,cold_mult,4,torch,2.13.0+cu130,backend,native,cuda_graph,True,rounds,3,peak_alloc_GiB,1.475
shape,k,n,m,arm,bits,variant,n_rot,graph_calls,us_median,us_r1,us_r2,us_r3,bytes_per_call,gbs,ratio_vs_bf16_linear,calls_per_step,note
f_b_proj  TP3/rank,128,2816,64,exl3,5,coldB,559,559,6.307,6.300,6.307,6.311,608000,96.4,1.0554,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,exl3,6,warm,1,559,4.287,4.346,4.283,4.287,282112,65.8,1.3685,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,exl3,6,coldA,140,559,6.225,6.245,6.225,6.223,282112,45.3,1.3431,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,1,exl3,6,coldB,559,559,6.219,6.224,6.219,6.214,282112,45.4,1.3430,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,exl3,6,warm,1,559,4.130,4.130,4.131,4.130,323328,78.3,1.8709,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,exl3,6,coldA,140,559,5.780,5.780,5.781,5.777,323328,55.9,1.1596,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,8,exl3,6,coldB,559,559,5.775,5.775,5.774,5.780,323328,56.0,1.1577,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,exl3,6,warm,1,559,5.237,5.237,5.236,5.243,653056,124.7,1.1721,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,exl3,6,coldA,140,559,6.537,6.540,6.537,6.531,653056,99.9,1.0943,34,"8192->8448 pad, /3 = 22x128"
f_b_proj  TP3/rank,128,2816,64,exl3,6,coldB,559,559,6.547,6.547,6.533,7.306,653056,99.8,1.0955,34,"8192->8448 pad, /3 = 22x128"
g_b_proj  TP3/rank,128,2816,1,bf16_linear,16,warm,1,559,3.098,3.097,3.098,3.101,726784,234.6,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,bf16_linear,16,coldA,140,559,4.636,4.655,4.636,4.630,726784,156.8,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,bf16_linear,16,coldB,559,559,4.627,4.627,4.629,4.627,726784,157.1,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_linear,16,warm,1,559,2.198,2.269,2.198,2.192,768000,349.4,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_linear,16,coldA,140,559,4.988,4.985,4.991,4.988,768000,154.0,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_linear,16,coldB,559,559,4.984,4.984,4.981,4.985,768000,154.1,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_linear,16,warm,1,559,4.472,4.472,4.473,4.466,1097728,245.4,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_linear,16,coldA,140,559,5.978,5.978,5.977,5.981,1097728,183.6,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_linear,16,coldB,559,559,5.980,5.973,5.980,5.985,1097728,183.6,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,bf16_matmul,16,warm,1,559,2.471,2.469,2.471,2.474,726784,294.2,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,bf16_matmul,16,coldA,140,559,5.384,5.384,5.385,5.375,726784,135.0,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,bf16_matmul,16,coldB,559,559,5.358,5.358,5.349,5.360,726784,135.6,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_matmul,16,warm,1,559,2.579,2.578,2.583,2.579,768000,297.8,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_matmul,16,coldA,140,559,5.294,5.294,5.285,5.301,768000,145.1,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,bf16_matmul,16,coldB,559,559,5.244,5.236,5.258,5.244,768000,146.4,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_matmul,16,warm,1,559,2.955,2.956,2.955,2.951,1097728,371.5,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_matmul,16,coldA,140,559,5.216,5.217,5.216,5.207,1097728,210.5,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,bf16_matmul,16,coldB,559,559,5.238,5.241,5.238,5.236,1097728,209.6,,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,4,warm,1,559,4.955,4.956,4.955,4.953,192000,38.7,1.5995,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,4,coldA,140,559,5.909,5.907,5.909,5.911,192000,32.5,1.2747,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,4,coldB,559,559,6.597,6.594,6.610,6.597,192000,29.1,1.4257,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,4,warm,1,559,3.544,3.543,3.544,3.545,233216,65.8,1.6126,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,4,coldA,140,559,4.301,4.317,4.301,4.297,233216,54.2,0.8623,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,4,coldB,559,559,5.111,5.111,5.109,5.114,233216,45.6,1.0254,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,4,warm,1,559,4.947,4.950,4.944,4.947,562944,113.8,1.1062,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,4,coldA,140,559,5.331,5.319,5.331,5.878,562944,105.6,0.8919,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,4,coldB,559,559,5.967,5.967,5.954,6.748,562944,94.4,0.9977,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,5,warm,1,559,4.263,4.264,4.263,4.258,237056,55.6,1.3761,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,5,coldA,140,559,5.932,5.952,5.929,5.932,237056,40.0,1.2797,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,5,coldB,559,559,6.069,6.067,6.071,6.069,237056,39.1,1.3117,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,5,warm,1,559,3.631,3.631,3.631,3.630,278272,76.6,1.6518,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,5,coldA,140,559,5.139,5.131,5.153,5.139,278272,54.1,1.0303,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,5,coldB,559,559,5.312,5.972,5.312,5.306,278272,52.4,1.0657,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,5,warm,1,559,5.478,5.727,5.477,5.478,608000,111.0,1.2248,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,5,coldA,140,559,6.236,6.829,6.231,6.236,608000,97.5,1.0432,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,5,coldB,559,559,6.306,6.318,6.306,6.306,608000,96.4,1.0545,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,6,warm,1,559,4.290,4.292,4.289,4.290,282112,65.8,1.3849,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,6,coldA,140,559,6.216,6.238,6.216,6.214,282112,45.4,1.3409,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,1,exl3,6,coldB,559,559,6.218,6.215,6.218,6.226,282112,45.4,1.3439,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,6,warm,1,559,4.171,4.171,4.171,4.173,323328,77.5,1.8977,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,6,coldA,140,559,5.793,6.153,5.791,5.793,323328,55.8,1.1613,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,8,exl3,6,coldB,559,559,5.797,5.811,5.794,5.797,323328,55.8,1.1632,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,6,warm,1,559,5.249,5.254,5.247,5.249,653056,124.4,1.1736,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,6,coldA,140,559,6.560,6.582,6.559,6.560,653056,99.5,1.0975,34,identical shape to f_b
g_b_proj  TP3/rank,128,2816,64,exl3,6,coldB,559,559,6.544,6.544,6.542,6.553,653056,99.8,1.0942,34,identical shape to f_b
f_b_proj  unsharded,128,8192,1,bf16_linear,16,warm,1,200,6.120,6.120,6.124,6.111,2113792,345.4,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,bf16_linear,16,coldA,48,200,9.553,9.990,9.553,9.529,2113792,221.3,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,bf16_linear,16,coldB,192,200,9.513,9.561,9.504,9.513,2113792,222.2,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_linear,16,warm,1,200,3.335,3.335,3.320,3.340,2230272,668.8,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_linear,16,coldA,48,200,9.971,9.971,9.980,9.958,2230272,223.7,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,8,bf16_linear,16,coldB,192,200,9.936,9.937,9.916,9.936,2230272,224.5,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_linear,16,warm,1,200,6.405,6.412,6.404,6.405,3162112,493.7,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_linear,16,coldA,48,200,10.347,10.347,10.319,10.361,3162112,305.6,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,64,bf16_linear,16,coldB,192,200,10.335,10.335,10.290,10.361,3162112,306.0,,0,"doc shape, replicated ref"
f_b_proj  unsharded,128,8192,1,bf16_matmul,16,warm,1,200,3.329,3.349,3.325,3.329,2113792,634.9,,0,"doc shape, replicated ref"
